i /I0/d; dc (I) X,i /I0/d; dc (I) Y
0,-2.803364830210403e-11
0.04,8.307483975879249e-06
0.08,1.341258017081964e-05
0.12,1.594273527137699e-05
0.16,1.732744360879344e-05
0.2,1.824263475163765e-05
0.24,1.893170150595197e-05
0.28,1.949204690144438e-05
0.32,1.996982391429711e-05
0.36,2.039013762751023e-05
0.4,2.07681107722377e-05
0.4399999999999999,2.111356394325523e-05
0.4799999999999999,2.143324511948991e-05
0.5199999999999999,2.173199729322528e-05
0.5599999999999999,2.201341786193076e-05
0.6,2.228025427010298e-05
0.64,2.253465341242914e-05
0.68,2.277832539665418e-05
0.7200000000000001,2.301265480978489e-05
0.7600000000000001,2.323877853822624e-05
0.8,2.345764156519673e-05
