i /I0/d; dc (I) X,i /I0/d; dc (I) Y
0,-9.250919965337717e-11
0.04,1.466888928902922e-05
0.08,2.766981890141826e-05
0.12,3.79401265962941e-05
0.16,4.513198674902642e-05
0.2,4.984639409505239e-05
0.24,5.300483707619929e-05
0.28,5.527567797881186e-05
0.32,5.702624301843269e-05
0.36,5.844979119955837e-05
0.4,5.965290304172847e-05
0.4399999999999999,6.069850876004652e-05
0.4799999999999999,6.162626493177111e-05
0.5199999999999999,6.246259523052226e-05
0.5599999999999999,6.322593838983214e-05
0.6,6.392965904929935e-05
0.64,6.458375220115229e-05
0.68,6.519588997104859e-05
0.7200000000000001,6.577209166934084e-05
0.7600000000000001,6.631716833819307e-05
0.8,6.683502698487989e-05
