i /I0/d; dc (I) X,i /I0/d; dc (I) Y
0,-1.015266976417055e-11
0.04,3.72878861183177e-06
0.08,5.15869765456432e-06
0.12,5.767993952664506e-06
0.16,6.142433746101658e-06
0.2,6.42209828091497e-06
0.24,6.651646986454041e-06
0.28,6.850146688544871e-06
0.32,7.027468085144622e-06
0.36,7.189405041524697e-06
0.4,7.339662906271395e-06
0.4399999999999999,7.480761763062113e-06
0.4799999999999999,7.614496483141482e-06
0.5199999999999999,7.742192064836501e-06
0.5599999999999999,7.864855082499495e-06
0.6,7.983268372589095e-06
0.64,8.098052815481748e-06
0.68,8.20970909767001e-06
0.7200000000000001,8.318646793168976e-06
0.7600000000000001,8.425205134722305e-06
0.8,8.52966817807575e-06
