i /I0/d; dc (I) X,i /I0/d; dc (I) Y
0,-5.672382192819928e-11
0.04,1.223170942087609e-05
0.08,2.196847710440666e-05
0.12,2.837743717925325e-05
0.16,3.217859163509273e-05
0.2,3.453103163607667e-05
0.24,3.615559522723891e-05
0.28,3.73883122232727e-05
0.32,3.838626662615847e-05
0.36,3.923005419632052e-05
0.4,3.99652924090826e-05
0.4399999999999999,4.062002142285073e-05
0.4799999999999999,4.121264615826661e-05
0.5199999999999999,4.175588931296604e-05
0.5599999999999999,4.225891545478321e-05
0.6,4.272854898797048e-05
0.64,4.317001169760535e-05
0.68,4.35873903171271e-05
0.7200000000000001,4.398394464192546e-05
0.7600000000000001,4.436231736561433e-05
0.8,4.472468108086315e-05
