# single-fin L=18nm, 23nm tall, 10nm wide. PTM 14nm LSTP
0,1.786249722617384e-13
0.04,7.660079559103199e-13
0.08,3.284915470852329e-12
0.12,1.408685132661386e-11
0.16,6.040855532792282e-11
0.2,2.590362179594558e-10
0.24,1.110519386532675e-09
0.28,4.756411499820042e-09
0.32,2.028999629559212e-08
0.36,8.512954137720496e-08
0.4,3.361134758465943e-07
0.4399999999999999,1.130426635722249e-06
0.4799999999999999,2.981081139241535e-06
0.5199999999999999,6.279964797848271e-06
0.5599999999999999,1.118225340661211e-05
0.6,1.765549528404801e-05
0.64,2.555492559308202e-05
0.68,3.466039065145792e-05
0.7200000000000001,4.472464893440866e-05
0.7600000000000001,5.551576371686496e-05
0.8,6.683502091229565e-05
